organism,contig,position
1069534.PRJNA70721,1069534.PRJNA70721.CP003032,0
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000013,0
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000012,43262
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000011,47268
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000010,60114
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000017,178208
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000016,239726
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000015,280860
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000014,282508
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000019,301251
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000018,323915
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000037,355952
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000030,520077
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000048,591753
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000045,705150
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000046,953717
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000040,959462
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000041,997747
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000043,1026668
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000057,1075539
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000056,1216963
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000055,1266792
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000054,1281227
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000052,1367595
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000051,1370637
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000050,1503518
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000059,1585017
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000058,1586567
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000053,1589980
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000005,1642889
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000028,1751971
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000029,1757075
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000022,1845774
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000023,1901239
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000020,1924999
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000021,1926927
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000026,1958932
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000027,2023713
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000024,2030146
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000025,2061158
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000039,2071229
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000038,2226189
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000035,2303395
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000034,2435346
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000036,2463312
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000031,2625369
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000033,2630350
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000032,2661132
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000049,2680655
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000044,2742214
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000047,2760378
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000042,2791987
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000000,2794055
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000001,2794114
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000002,2810620
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000003,2868945
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000004,2895598
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000006,2997612
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000007,3011266
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000008,3019319
1118061.PRJEA82085,1118061.PRJEA82085.CAHA01000009,3041304
1121098.PRJDB570,1121098.PRJDB570.BAJE01000006,0
1121098.PRJDB570,1121098.PRJDB570.BAJE01000007,135587
1121098.PRJDB570,1121098.PRJDB570.BAJE01000004,262818
1121098.PRJDB570,1121098.PRJDB570.BAJE01000005,416119
1121098.PRJDB570,1121098.PRJDB570.BAJE01000002,565889
1121098.PRJDB570,1121098.PRJDB570.BAJE01000003,763992
1121098.PRJDB570,1121098.PRJDB570.BAJE01000000,925638
1121098.PRJDB570,1121098.PRJDB570.BAJE01000001,925804
1121098.PRJDB570,1121098.PRJDB570.BAJE01000008,1152850
1121098.PRJDB570,1121098.PRJDB570.BAJE01000009,1278789
1121098.PRJDB570,1121098.PRJDB570.BAJE01000132,1395874
1121098.PRJDB570,1121098.PRJDB570.BAJE01000133,1397454
1121098.PRJDB570,1121098.PRJDB570.BAJE01000130,1398927
1121098.PRJDB570,1121098.PRJDB570.BAJE01000131,1400590
1121098.PRJDB570,1121098.PRJDB570.BAJE01000136,1402176
1121098.PRJDB570,1121098.PRJDB570.BAJE01000137,1403599
1121098.PRJDB570,1121098.PRJDB570.BAJE01000134,1405001
1121098.PRJDB570,1121098.PRJDB570.BAJE01000135,1406472
1121098.PRJDB570,1121098.PRJDB570.BAJE01000138,1407913
1121098.PRJDB570,1121098.PRJDB570.BAJE01000139,1409295
1121098.PRJDB570,1121098.PRJDB570.BAJE01000015,1410678
1121098.PRJDB570,1121098.PRJDB570.BAJE01000014,1497990
1121098.PRJDB570,1121098.PRJDB570.BAJE01000017,1589134
1121098.PRJDB570,1121098.PRJDB570.BAJE01000016,1671126
1121098.PRJDB570,1121098.PRJDB570.BAJE01000011,1754736
1121098.PRJDB570,1121098.PRJDB570.BAJE01000010,1865521
1121098.PRJDB570,1121098.PRJDB570.BAJE01000013,1981415
1121098.PRJDB570,1121098.PRJDB570.BAJE01000012,2089276
1121098.PRJDB570,1121098.PRJDB570.BAJE01000019,2198941
1121098.PRJDB570,1121098.PRJDB570.BAJE01000121,2268870
1121098.PRJDB570,1121098.PRJDB570.BAJE01000120,2271504
1121098.PRJDB570,1121098.PRJDB570.BAJE01000123,2274165
1121098.PRJDB570,1121098.PRJDB570.BAJE01000122,2276654
1121098.PRJDB570,1121098.PRJDB570.BAJE01000125,2279274
1121098.PRJDB570,1121098.PRJDB570.BAJE01000124,2281295
1121098.PRJDB570,1121098.PRJDB570.BAJE01000127,2283363
1121098.PRJDB570,1121098.PRJDB570.BAJE01000126,2285168
1121098.PRJDB570,1121098.PRJDB570.BAJE01000129,2287080
1121098.PRJDB570,1121098.PRJDB570.BAJE01000128,2288765
1121098.PRJDB570,1121098.PRJDB570.BAJE01000112,2290484
1121098.PRJDB570,1121098.PRJDB570.BAJE01000113,2293917
1121098.PRJDB570,1121098.PRJDB570.BAJE01000116,2297310
1121098.PRJDB570,1121098.PRJDB570.BAJE01000117,2300446
1121098.PRJDB570,1121098.PRJDB570.BAJE01000099,2303559
1121098.PRJDB570,1121098.PRJDB570.BAJE01000069,2308454
1121098.PRJDB570,1121098.PRJDB570.BAJE01000106,2322889
1121098.PRJDB570,1121098.PRJDB570.BAJE01000104,2327067
1121098.PRJDB570,1121098.PRJDB570.BAJE01000103,2331526
1121098.PRJDB570,1121098.PRJDB570.BAJE01000102,2336046
1121098.PRJDB570,1121098.PRJDB570.BAJE01000101,2340598
1121098.PRJDB570,1121098.PRJDB570.BAJE01000100,2345284
1121098.PRJDB570,1121098.PRJDB570.BAJE01000018,2350151
1121098.PRJDB570,1121098.PRJDB570.BAJE01000154,2427852
1121098.PRJDB570,1121098.PRJDB570.BAJE01000155,2428658
1121098.PRJDB570,1121098.PRJDB570.BAJE01000156,2429372
1121098.PRJDB570,1121098.PRJDB570.BAJE01000157,2430036
1121098.PRJDB570,1121098.PRJDB570.BAJE01000150,2430697
1121098.PRJDB570,1121098.PRJDB570.BAJE01000151,2431653
1121098.PRJDB570,1121098.PRJDB570.BAJE01000152,2432570
1121098.PRJDB570,1121098.PRJDB570.BAJE01000153,2433458
1121098.PRJDB570,1121098.PRJDB570.BAJE01000158,2434313
1121098.PRJDB570,1121098.PRJDB570.BAJE01000159,2434939
1121098.PRJDB570,1121098.PRJDB570.BAJE01000149,2435560
1121098.PRJDB570,1121098.PRJDB570.BAJE01000148,2436579
1121098.PRJDB570,1121098.PRJDB570.BAJE01000143,2437624
1121098.PRJDB570,1121098.PRJDB570.BAJE01000142,2438920
1121098.PRJDB570,1121098.PRJDB570.BAJE01000141,2440243
1121098.PRJDB570,1121098.PRJDB570.BAJE01000140,2441604
1121098.PRJDB570,1121098.PRJDB570.BAJE01000147,2442979
1121098.PRJDB570,1121098.PRJDB570.BAJE01000146,2444091
1121098.PRJDB570,1121098.PRJDB570.BAJE01000145,2445241
1121098.PRJDB570,1121098.PRJDB570.BAJE01000144,2446490
1121098.PRJDB570,1121098.PRJDB570.BAJE01000077,2447746
1121098.PRJDB570,1121098.PRJDB570.BAJE01000076,2459127
1121098.PRJDB570,1121098.PRJDB570.BAJE01000079,2470575
1121098.PRJDB570,1121098.PRJDB570.BAJE01000118,2481536
1121098.PRJDB570,1121098.PRJDB570.BAJE01000119,2484371
1121098.PRJDB570,1121098.PRJDB570.BAJE01000060,2487137
1121098.PRJDB570,1121098.PRJDB570.BAJE01000061,2507971
1121098.PRJDB570,1121098.PRJDB570.BAJE01000063,2527276
1121098.PRJDB570,1121098.PRJDB570.BAJE01000064,2545130
