ori_id	asm_id	refseq	hit	gn:kegg	ori_pos	fname	genome_len
ORI10030003	GCF_000027305.1	NC_000907.1	REFSEQ	T00001	603005	GCF_000027305.1_ASM2730v1_genomic.gff.gz	1830138
ORI92830254	GCF_000009725.1	NC_000911.1	REFSEQ	T00004	323607	GCF_000009725.1_ASM972v1_genomic.gff.gz	3573470
ORI10040001	GCF_000027345.1	NC_000912.1	REFSEQ	T00006	816339	GCF_000027345.1_ASM2734v1_genomic.gff.gz	816394
ORI97016815	GCF_000008525.1	NC_000915.1	ASM	T00008	1608998	GCF_000008525.1_ASM852v1_genomic.gff.gz	1667867
ORI10040004	GCF_000008685.2	NC_001318.1	REFSEQ	T00012	458037	GCF_000008685.2_ASM868v2_genomic.gff.gz	910724
ORI10030001	GCF_000008725.1	NC_000117.1	REFSEQ	T00017	719974	GCF_000008725.1_ASM872v1_genomic.gff.gz	1042519
ORI10030005	GCF_000195735.1	NC_000963.1	REFSEQ	T00018	1111140	GCF_000195735.1_ASM19573v1_genomic.gff.gz	1111523
ORI97016817	GCF_000008785.1	NC_000921.1	ASM	T00020	1559163	GCF_000008785.1_ASM878v1_genomic.gff.gz	1643831
ORI10030004	GCF_000008745.1	NC_000922.1	REFSEQ	T00021	841385	GCF_000008745.1_ASM874v1_genomic.gff.gz	1230230
ORI10030002	GCF_000008545.1	NC_000853.1	REFSEQ	T00022	156961	GCF_000008545.1_ASM854v1_genomic.gff.gz	1860725
ORI10030006	GCF_000008565.1	NC_001264.1	REFSEQ	T00025	412228	GCF_000008565.1_ASM856v1_genomic.gff.gz	412348
ORI10010008	GCF_000009085.1	NC_002163.1	REFSEQ	T00026	1324	GCF_000009085.1_ASM908v1_genomic.gff.gz	1641481
ORI10030022	GCF_000009105.1	NC_003116.1	REFSEQ	T00031	219873	GCF_000009105.1_ASM910v1_genomic.gff.gz	2184406
ORI10030008	GCF_000011165.1	NC_002491.1	REFSEQ	T00032	840706	GCF_000011165.1_ASM1116v1_genomic.gff.gz	1226565
ORI10030009	GCF_000006745.1	NC_002506.1	REFSEQ	T00034	247	GCF_000006745.1_ASM674v1_genomic.gff.gz	1072315
ORI10040006	GCF_000009605.1	NC_002528.1	REFSEQ	T00036	640442	GCF_000009605.1_ASM960v1_genomic.gff.gz	640681
ORI97017012	GCF_000011145.1	NC_002570.2	ASM	T00039	4202339	GCF_000011145.1_ASM1114v1_genomic.gff.gz	4202352
ORI92340005	GCF_000006625.1	NC_002162.1	REFSEQ	T00040	751550	GCF_000006625.1_ASM662v1_genomic.gff.gz	751719
ORI10010012	GCF_000006865.1	NC_002662.1	REFSEQ	T00045	1726	GCF_000006865.1_ASM686v1_genomic.gff.gz	2365589
ORI10030011	GCF_000006825.1	NC_002663.1	REFSEQ	T00046	1677118	GCF_000006825.1_ASM682v1_genomic.gff.gz	2257487
ORI10010013	GCF_000195855.1	NC_002677.1	REFSEQ	T00047	1567	GCF_000195855.1_ASM19585v1_genomic.gff.gz	3268203
ORI10010020	GCF_000195875.1	NC_002771.1	REFSEQ	T00055	1	GCF_000195875.1_ASM19587v1_genomic.gff.gz	963879
ORI10010043	GCF_000008765.1	NC_003030.1	REFSEQ	T00056	3940782	GCF_000008765.1_ASM876v1_genomic.gff.gz	3940880
ORI10030017	GCF_000006965.1	NC_003047.1	REFSEQ	T00058	1	GCF_000006965.1_ASM696v1_genomic.gff.gz	3654135
ORI10010045	GCF_000007045.1	NC_003098.1	REFSEQ	T00060	2038404	GCF_000007045.1_ASM704v1_genomic.gff.gz	2038615
ORI10030020	GCF_000007025.1	NC_003103.1	REFSEQ	T00061	1268361	GCF_000007025.1_ASM702v1_genomic.gff.gz	1268755
ORI10020008	GCF_000009065.1	NC_003143.1	REFSEQ	T00063	4653618	GCF_000009065.1_ASM906v1_genomic.gff.gz	4653728
ORI10020010	GCF_000195995.1	NC_003198.1	REFSEQ	T00064	3765058	GCF_000195995.1_ASM19599v1_genomic.gff.gz	4809037
ORI10010048	GCF_000196035.1	NC_003210.1	REFSEQ	T00066	2944342	GCF_000196035.1_ASM19603v1_genomic.gff.gz	2944528
ORI10010050	GCF_000195795.1	NC_003212.1	REFSEQ	T00067	3011021	GCF_000195795.1_ASM19579v1_genomic.gff.gz	3011208
ORI96000364	GCF_000010245.2	NC_007779.1	REFSEQ	T00068	3710670	GCF_000010245.2_ASM1024v1_genomic.gff.gz	4646332
ORI10010051	GCF_000009705.1	NC_003272.1	REFSEQ	T00069	2404398	GCF_000009705.1_ASM970v1_genomic.gff.gz	6413771
ORI10010052	GCF_000009125.1	NC_003295.1	REFSEQ	T00071	3716277	GCF_000009125.1_ASM912v1_genomic.gff.gz	3716413
ORI10040016	GCF_000007125.1	NC_003318.1	REFSEQ	T00072	91935	GCF_000007125.1_ASM712v1_genomic.gff.gz	1177787
ORI10010054	GCF_000009685.1	NC_003366.1	REFSEQ	T00074	3030810	GCF_000009685.1_ASM968v1_genomic.gff.gz	3031430
ORI10040017	GCF_000007325.1	NC_003454.1	REFSEQ	T00077	641869	GCF_000007325.1_ASM732v1_genomic.gff.gz	2174500
ORI10010058	GCF_000007285.1	NC_003485.1	REFSEQ	T00079	1895017	GCF_000007285.1_ASM728v1_genomic.gff.gz	1895017
ORI10010060	GCF_000007085.1	NC_003869.1	REFSEQ	T00081	2689326	GCF_000007085.1_ASM708v1_genomic.gff.gz	2689445
ORI10040018	GCF_000007145.1	NC_003902.1	REFSEQ	T00083	1371	GCF_000007145.1_ASM714v1_genomic.gff.gz	5076188
ORI10040020	GCF_000007165.1	NC_003919.1	REFSEQ	T00084	1371	GCF_000007165.1_ASM716v1_genomic.gff.gz	5175554
ORI10010066	GCF_000011265.1	NC_003923.1	REFSEQ	T00086	2820249	GCF_000011265.1_ASM1126v1_genomic.gff.gz	2820462
ORI10040021	GCF_000007365.1	NC_004061.1	REFSEQ	T00087	641022	GCF_000007365.1_ASM736v1_genomic.gff.gz	641454
ORI10010070	GCF_000007425.1	NC_004070.1	REFSEQ	T00089	1900521	GCF_000007425.1_ASM742v1_genomic.gff.gz	1900521
ORI10030028	GCF_000011345.1	NC_004113.1	REFSEQ	T00090	2338968	GCF_000011345.1_ASM1134v1_genomic.gff.gz	2593857
